food,precio,tiempo,nutricion,relacion
pizza,alto medio bajo,rapido medio lento,media alta,carne
sushi,alto medio bajo,rapido medio,alta media,mariscos
pasta a la boloñesa,alto medio,medio lento,media,carne pasta
lasagna,medio bajo,rapido medio lento,media alta,pasta carne
ensalada,medio bajo,rapido,media,
ensalada de pollo,medio alto,rapido,media alta,ensalada pollo
ensalada de atun,medio alto,rapido,media alta,ensalada mariscos
tacos ,medio bajo,rapido medio,baja,
tacos de res,medio bajo,rapido medio lento,baja media,tacos carne
tacos al pastor,medio bajo,rapido medio lento,baja media,tacos carne
hamburguesa,medio alto,rapido medio,media alta,pan carne
mariscos ,alto medio bajo,medio lento,alta,mariscos
pan,medio bajo,medio lento,media,pan
curry,alto medio,rapido medio lento,media alta,carne
sashimi,alto,medio,alta,mariscos
carne ,alto medio bajo,medio lento,media alta,carne
milanesa,medio alto,medio rapido,media,carne
hilachas,medio,medio,alta,carne
tapado de mariscos,alto,lento,alta,mariscos
ceviche de camaron,alto,rapido,media,mariscos
ceviche de pulpo,alto,rapido,media,mariscos
ceviche de pescado,alto,rapido,media,mariscos
tacos Tlaquepaque,medio,medio rapido,media,pan carne
tacos de lengua,alto,medio,media,pan carne
lentejas estofadas,medio,medio,media,verduras glutenfree
farinata genovesa,medio,alto,alta,glutenfree
yakisoba con carne,alto,medio,alta,carne glutenfree
cordon blue,alto,alto,alta,harina pollo
picantones al horno con limon,medio,alta,medio,pollo
flautas de pollo mexicanas,bajo,bajo,media,pollo
gallina en pepitoria,alto,alto,alto,pollo
pollo satay,bajo,medio,media,pollo
espaguetis con pollo y bacon cremosos,medio,medio,alta,pasta pollo
raviolis de pasta fresca casera rellenos de requesón con trufa de verano,alto,medio,alta,pasta lacteo
tagliatelle a la carbonara,medio,alto,alta,pasta carne
gnocchis de patata,alto,alto,alta,pasta
lasagna de atún y verduras con bechamel,alto,alto,alta,pasta verduras mariscos
ensalada mediterranea,medio,bajo,baja,ensalada
ensalada dulce con quinoa,medio,bajo,baja,ensalada frutas
ensalada de frutas al grill,bajo,bajo,baja,ensalada frutas
hummus,medio,alto,media,verduras glutenfree
mousse de yogur con frutos rojos,medio,medio,alta,mousse
mousse cremosa de chocolate y aguacate,medio,medio,alta,chocolate
mousse de chocolate negro y café,medio,medio,alta,chocolate
mousse rápida de melocotón,medio,rapido,alta,frutas lacteo
crema de Oreo, yogur y chocolate blanco,alto,rapido,alta,chocolate lacteo
petit de chocolate,alto,rapido,alta,chocolate lacteo
Pudding de chocolate suizo,alto,medio,alta,chocolate lacteo
apple crisp, medio,alto,medio,frutas
